schema_version,analysis_id,run_id,evidence_mode,provider,model,task_type,task_family,provider_model,evidence_origin,sample_count,attempt_count,success_count,source_kind,source_provenance_class,source_citation,source_license,source_provenance_notes,provenance_caveat,direct_evidence,real_external_evidence,original_rate,corrected_static_rate,corrected_adaptive_rate,adaptive_success_at_3,adaptive_success_at_5,bernoulli_success_at_3,bernoulli_success_at_5,adaptive_round_count,memory_isolation,ci_low,ci_high,ci_method,ci_note,agreement_status,diverges_from_original,divergence_reason,scientific_wrong_count,protocol_failure_count,infrastructure_failure_count,selected_manifest_path,claim_boundary_note,claim_effect,adaptive_scope_rationale,source_artifact_path
cognition.revision.phase042.evidence_analysis.v1,exp5_evidence_analysis-openai-gpt-5-Relation_Match-static,exp5_evidence_analysis,static,openai,gpt-5,Relation_Match,Relational Matching,openai/gpt-5,new_category,30,30,0,open_source_dataset,preferred_real_external,"VIPER_code Zenodo record 18191465, DOI 10.5281/zenodo.18191465, geetest dataset, accessed 2026-05-21.",CC-BY-4.0 (Zenodo record).,"Offline geetest image, question, detection, and answer-id metadata extracted from the VIPER_code Zenodo artifact; no live CAPTCHA service or browser workflow is used.",,True,True,,0.0,,,,,,0,,1.3877787807814457e-17,0.11351339317396869,wilson_95,Wilson interval over corrected static attempts.,inconclusive,False,Original or corrected rate is unavailable.,30,0,0,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,"Corrected Phase 04.2 evidence uses the 40% reporting heuristic only for claim-boundary reporting, not as a universal CAPTCHA security boundary. This row supports the structural-hardness claim within scope.",supports_structural_hardness,,results/exp5/static_final_evidence_20260522/expanded_static_summary.json
cognition.revision.phase042.evidence_analysis.v1,exp5_evidence_analysis-openai-gpt-5-Symbol_Count-static,exp5_evidence_analysis,static,openai,gpt-5,Symbol_Count,Counting,openai/gpt-5,new_category,30,30,1,open_source_dataset,preferred_real_external,"YaxinLuo/NextGen-CAPTCHAs Hugging Face dataset and MetaAgentX/NextGen-CAPTCHAs GitHub repository, captcha_data/Occluded_Pattern_Counting, accessed 2026-05-21.",Apache-2.0 (Hugging Face dataset card); MIT license observed in GitHub repository.,Real external NextGen-CAPTCHAs occluded-pattern counting samples normalized into the existing single-integer Symbol_Count contract.,,True,True,,0.03333333333333333,,,,,,0,,0.005908590381612441,0.16670390991409167,wilson_95,Wilson interval over corrected static attempts.,inconclusive,False,Original or corrected rate is unavailable.,29,0,0,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,"Corrected Phase 04.2 evidence uses the 40% reporting heuristic only for claim-boundary reporting, not as a universal CAPTCHA security boundary. This row supports the structural-hardness claim within scope.",supports_structural_hardness,,results/exp5/static_final_evidence_20260522/expanded_static_summary.json
cognition.revision.phase042.evidence_analysis.v1,exp5_evidence_analysis-openai-gpt-5.1_medium-Hole_Counting-static,exp5_evidence_analysis,static,openai,gpt-5.1_medium,Hole_Counting,Counting,openai/gpt-5.1_medium,new_category,20,20,0,open_source_dataset,preferred_real_external,"YaxinLuo/NextGen-CAPTCHAs Hugging Face dataset and MetaAgentX/NextGen-CAPTCHAs GitHub repository, captcha_data/Hole_Counting, accessed 2026-05-21.",Apache-2.0 (Hugging Face dataset card); MIT license observed in GitHub repository.,Real external NextGen-CAPTCHAs hole-counting grid-select samples added as an additional Phase 04.2 new category per user direction.,,True,True,,0.0,,,,,,0,,0.0,0.16112515805281927,wilson_95,Wilson interval over corrected static attempts.,inconclusive,False,Original or corrected rate is unavailable.,20,0,0,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,"Corrected Phase 04.2 evidence uses the 40% reporting heuristic only for claim-boundary reporting, not as a universal CAPTCHA security boundary. This row supports the structural-hardness claim within scope.",supports_structural_hardness,,results/exp5/static_final_evidence_20260522/expanded_static_summary.json
cognition.revision.phase042.evidence_analysis.v1,exp5_evidence_analysis-openai-gpt-5.1_medium-Relation_Match-static,exp5_evidence_analysis,static,openai,gpt-5.1_medium,Relation_Match,Relational Matching,openai/gpt-5.1_medium,new_category,30,30,5,open_source_dataset,preferred_real_external,"VIPER_code Zenodo record 18191465, DOI 10.5281/zenodo.18191465, geetest dataset, accessed 2026-05-21.",CC-BY-4.0 (Zenodo record).,"Offline geetest image, question, detection, and answer-id metadata extracted from the VIPER_code Zenodo artifact; no live CAPTCHA service or browser workflow is used.",,True,True,,0.16666666666666666,,,,,,0,,0.0733654237184855,0.3356435050641603,wilson_95,Wilson interval over corrected static attempts.,inconclusive,False,Original or corrected rate is unavailable.,25,0,0,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,"Corrected Phase 04.2 evidence uses the 40% reporting heuristic only for claim-boundary reporting, not as a universal CAPTCHA security boundary. This row supports the structural-hardness claim within scope.",supports_structural_hardness,,results/exp5/static_final_evidence_20260522/expanded_static_summary.json
cognition.revision.phase042.evidence_analysis.v1,exp5_evidence_analysis-openai-gpt-5.1_medium-Symbol_Count-static,exp5_evidence_analysis,static,openai,gpt-5.1_medium,Symbol_Count,Counting,openai/gpt-5.1_medium,new_category,30,30,3,open_source_dataset,preferred_real_external,"YaxinLuo/NextGen-CAPTCHAs Hugging Face dataset and MetaAgentX/NextGen-CAPTCHAs GitHub repository, captcha_data/Occluded_Pattern_Counting, accessed 2026-05-21.",Apache-2.0 (Hugging Face dataset card); MIT license observed in GitHub repository.,Real external NextGen-CAPTCHAs occluded-pattern counting samples normalized into the existing single-integer Symbol_Count contract.,,True,True,,0.1,,,,,,0,,0.034599888747334204,0.2562108257918408,wilson_95,Wilson interval over corrected static attempts.,inconclusive,False,Original or corrected rate is unavailable.,27,0,0,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,"Corrected Phase 04.2 evidence uses the 40% reporting heuristic only for claim-boundary reporting, not as a universal CAPTCHA security boundary. This row supports the structural-hardness claim within scope.",supports_structural_hardness,,results/exp5/static_final_evidence_20260522/expanded_static_summary.json
cognition.revision.phase042.evidence_analysis.v1,exp5_evidence_analysis-openai-gpt-5.1_none-Hole_Counting-static,exp5_evidence_analysis,static,openai,gpt-5.1_none,Hole_Counting,Counting,openai/gpt-5.1_none,new_category,20,20,0,open_source_dataset,preferred_real_external,"YaxinLuo/NextGen-CAPTCHAs Hugging Face dataset and MetaAgentX/NextGen-CAPTCHAs GitHub repository, captcha_data/Hole_Counting, accessed 2026-05-21.",Apache-2.0 (Hugging Face dataset card); MIT license observed in GitHub repository.,Real external NextGen-CAPTCHAs hole-counting grid-select samples added as an additional Phase 04.2 new category per user direction.,,True,True,,0.0,,,,,,0,,0.0,0.16112515805281927,wilson_95,Wilson interval over corrected static attempts.,inconclusive,False,Original or corrected rate is unavailable.,20,0,0,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,"Corrected Phase 04.2 evidence uses the 40% reporting heuristic only for claim-boundary reporting, not as a universal CAPTCHA security boundary. This row supports the structural-hardness claim within scope.",supports_structural_hardness,,results/exp5/static_final_evidence_20260522/expanded_static_summary.json
cognition.revision.phase042.evidence_analysis.v1,exp5_evidence_analysis-openai-gpt-5.1_none-Relation_Match-static,exp5_evidence_analysis,static,openai,gpt-5.1_none,Relation_Match,Relational Matching,openai/gpt-5.1_none,new_category,30,30,2,open_source_dataset,preferred_real_external,"VIPER_code Zenodo record 18191465, DOI 10.5281/zenodo.18191465, geetest dataset, accessed 2026-05-21.",CC-BY-4.0 (Zenodo record).,"Offline geetest image, question, detection, and answer-id metadata extracted from the VIPER_code Zenodo artifact; no live CAPTCHA service or browser workflow is used.",,True,True,,0.06666666666666667,,,,,,0,,0.018477023791270406,0.21323458362616915,wilson_95,Wilson interval over corrected static attempts.,inconclusive,False,Original or corrected rate is unavailable.,28,0,0,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,"Corrected Phase 04.2 evidence uses the 40% reporting heuristic only for claim-boundary reporting, not as a universal CAPTCHA security boundary. This row supports the structural-hardness claim within scope.",supports_structural_hardness,,results/exp5/static_final_evidence_20260522/expanded_static_summary.json
cognition.revision.phase042.evidence_analysis.v1,exp5_evidence_analysis-openai-gpt-5.1_none-Symbol_Count-static,exp5_evidence_analysis,static,openai,gpt-5.1_none,Symbol_Count,Counting,openai/gpt-5.1_none,new_category,30,30,1,open_source_dataset,preferred_real_external,"YaxinLuo/NextGen-CAPTCHAs Hugging Face dataset and MetaAgentX/NextGen-CAPTCHAs GitHub repository, captcha_data/Occluded_Pattern_Counting, accessed 2026-05-21.",Apache-2.0 (Hugging Face dataset card); MIT license observed in GitHub repository.,Real external NextGen-CAPTCHAs occluded-pattern counting samples normalized into the existing single-integer Symbol_Count contract.,,True,True,,0.03333333333333333,,,,,,0,,0.005908590381612441,0.16670390991409167,wilson_95,Wilson interval over corrected static attempts.,inconclusive,False,Original or corrected rate is unavailable.,29,0,0,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,"Corrected Phase 04.2 evidence uses the 40% reporting heuristic only for claim-boundary reporting, not as a universal CAPTCHA security boundary. This row supports the structural-hardness claim within scope.",supports_structural_hardness,,results/exp5/static_final_evidence_20260522/expanded_static_summary.json
cognition.revision.phase042.evidence_analysis.v1,exp5_evidence_analysis-openrouter-qwen_qwen3-vl-235b-a22b-instruct-Hole_Counting-static,exp5_evidence_analysis,static,openrouter,qwen_qwen3-vl-235b-a22b-instruct,Hole_Counting,Counting,openrouter/qwen_qwen3-vl-235b-a22b-instruct,new_category,20,20,0,open_source_dataset,preferred_real_external,"YaxinLuo/NextGen-CAPTCHAs Hugging Face dataset and MetaAgentX/NextGen-CAPTCHAs GitHub repository, captcha_data/Hole_Counting, accessed 2026-05-21.",Apache-2.0 (Hugging Face dataset card); MIT license observed in GitHub repository.,Real external NextGen-CAPTCHAs hole-counting grid-select samples added as an additional Phase 04.2 new category per user direction.,,True,True,,0.0,,,,,,0,,0.0,0.16112515805281927,wilson_95,Wilson interval over corrected static attempts.,inconclusive,False,Original or corrected rate is unavailable.,20,0,0,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,"Corrected Phase 04.2 evidence uses the 40% reporting heuristic only for claim-boundary reporting, not as a universal CAPTCHA security boundary. This row supports the structural-hardness claim within scope.",supports_structural_hardness,,results/exp5/static_final_evidence_20260522/expanded_static_summary.json
cognition.revision.phase042.evidence_analysis.v1,exp5_evidence_analysis-openrouter-qwen_qwen3-vl-235b-a22b-instruct-Relation_Match-static,exp5_evidence_analysis,static,openrouter,qwen_qwen3-vl-235b-a22b-instruct,Relation_Match,Relational Matching,openrouter/qwen_qwen3-vl-235b-a22b-instruct,new_category,30,30,3,open_source_dataset,preferred_real_external,"VIPER_code Zenodo record 18191465, DOI 10.5281/zenodo.18191465, geetest dataset, accessed 2026-05-21.",CC-BY-4.0 (Zenodo record).,"Offline geetest image, question, detection, and answer-id metadata extracted from the VIPER_code Zenodo artifact; no live CAPTCHA service or browser workflow is used.",,True,True,,0.1,,,,,,0,,0.034599888747334204,0.2562108257918408,wilson_95,Wilson interval over corrected static attempts.,inconclusive,False,Original or corrected rate is unavailable.,27,0,0,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,"Corrected Phase 04.2 evidence uses the 40% reporting heuristic only for claim-boundary reporting, not as a universal CAPTCHA security boundary. This row supports the structural-hardness claim within scope.",supports_structural_hardness,,results/exp5/static_final_evidence_20260522/expanded_static_summary.json
cognition.revision.phase042.evidence_analysis.v1,exp5_evidence_analysis-openrouter-qwen_qwen3-vl-235b-a22b-instruct-Symbol_Count-static,exp5_evidence_analysis,static,openrouter,qwen_qwen3-vl-235b-a22b-instruct,Symbol_Count,Counting,openrouter/qwen_qwen3-vl-235b-a22b-instruct,new_category,30,30,0,open_source_dataset,preferred_real_external,"YaxinLuo/NextGen-CAPTCHAs Hugging Face dataset and MetaAgentX/NextGen-CAPTCHAs GitHub repository, captcha_data/Occluded_Pattern_Counting, accessed 2026-05-21.",Apache-2.0 (Hugging Face dataset card); MIT license observed in GitHub repository.,Real external NextGen-CAPTCHAs occluded-pattern counting samples normalized into the existing single-integer Symbol_Count contract.,,True,True,,0.0,,,,,,0,,1.3877787807814457e-17,0.11351339317396869,wilson_95,Wilson interval over corrected static attempts.,inconclusive,False,Original or corrected rate is unavailable.,29,1,0,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,"Corrected Phase 04.2 evidence uses the 40% reporting heuristic only for claim-boundary reporting, not as a universal CAPTCHA security boundary. This row supports the structural-hardness claim within scope.",supports_structural_hardness,,results/exp5/static_final_evidence_20260522/expanded_static_summary.json
cognition.revision.phase042.evidence_analysis.v1,exp5_evidence_analysis-openai-gpt-5_medium-Click_Order-adaptive,exp5_evidence_analysis,adaptive,openai,gpt-5_medium,Click_Order,Ordering,openai/gpt-5_medium,supplemented_category,10,15,1,original_captchaworld_hard_scope,original_hard_task_context,,,Original hard-task adaptive scope; not corrected direct expanded static sidecar evidence.,"Original hard-task adaptive context, reported separately from corrected three-category expanded static evidence.",True,False,0.1,,0.2,0.2,0.2,0.2709999999999999,0.40950999999999993,5,five_memory_isolated_rounds,0.03622410863243025,0.6244653702374745,wilson_95,"Wilson interval over five memory-isolated adaptive rounds. Treat as an observed round-level interval, not a precise single-session probability estimate.",supports_original,False,,22,0,0,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,"Corrected Phase 04.2 evidence uses the 40% reporting heuristic only for claim-boundary reporting, not as a universal CAPTCHA security boundary. Adaptive rows are five memory-isolated hard-scope rounds, not precise probability estimates.",supports_structural_hardness,"Since most recognition-oriented tasks are already solved reliably under the non-adaptive setting, adaptive feedback would mainly introduce ceiling effects and provide limited additional insight. We therefore focus on the hard and boundary-hard task types, where adaptive memory has the greatest potential to change the security conclusion. This is the Phase 04.2 ceiling-effect rationale.",results/exp5/adaptive_final_evidence_20260522/expanded_adaptive_summary.json
cognition.revision.phase042.evidence_analysis.v1,exp5_evidence_analysis-openai-gpt-5_medium-Dice_Count-adaptive,exp5_evidence_analysis,adaptive,openai,gpt-5_medium,Dice_Count,Counting,openai/gpt-5_medium,supplemented_category,9,15,1,original_captchaworld_hard_scope,original_hard_task_context,,,Original hard-task adaptive scope; not corrected direct expanded static sidecar evidence.,"Original hard-task adaptive context, reported separately from corrected three-category expanded static evidence.",True,False,0.0,,0.2,0.2,,0.0,0.0,5,five_memory_isolated_rounds,0.03622410863243025,0.6244653702374745,wilson_95,"Wilson interval over five memory-isolated adaptive rounds. Treat as an observed round-level interval, not a precise single-session probability estimate.",supports_original,False,,14,0,0,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,"Corrected Phase 04.2 evidence uses the 40% reporting heuristic only for claim-boundary reporting, not as a universal CAPTCHA security boundary. Adaptive rows are five memory-isolated hard-scope rounds, not precise probability estimates.",supports_structural_hardness,"Since most recognition-oriented tasks are already solved reliably under the non-adaptive setting, adaptive feedback would mainly introduce ceiling effects and provide limited additional insight. We therefore focus on the hard and boundary-hard task types, where adaptive memory has the greatest potential to change the security conclusion. This is the Phase 04.2 ceiling-effect rationale.",results/exp5/adaptive_final_evidence_20260522/expanded_adaptive_summary.json
cognition.revision.phase042.evidence_analysis.v1,exp5_evidence_analysis-openai-gpt-5_medium-Hole_Counting-adaptive,exp5_evidence_analysis,adaptive,openai,gpt-5_medium,Hole_Counting,Counting,openai/gpt-5_medium,new_category,20,15,0,open_source_dataset,preferred_real_external,"YaxinLuo/NextGen-CAPTCHAs Hugging Face dataset and MetaAgentX/NextGen-CAPTCHAs GitHub repository, captcha_data/Hole_Counting, accessed 2026-05-21.",Apache-2.0 (Hugging Face dataset card); MIT license observed in GitHub repository.,Real external NextGen-CAPTCHAs hole-counting grid-select samples added as an additional Phase 04.2 new category per user direction.,,True,True,0.0,,0.0,0.0,0.0,0.0,0.0,5,five_memory_isolated_rounds,0.0,0.43448246478317465,wilson_95,"Wilson interval over five memory-isolated adaptive rounds. Treat as an observed round-level interval, not a precise single-session probability estimate.",supports_original,False,,25,0,0,expanded_captcha_data/phase04_2/phase042_selected_manifest.json,"Corrected Phase 04.2 evidence uses the 40% reporting heuristic only for claim-boundary reporting, not as a universal CAPTCHA security boundary. Adaptive rows are five memory-isolated hard-scope rounds, not precise probability estimates.",supports_structural_hardness,"Since most recognition-oriented tasks are already solved reliably under the non-adaptive setting, adaptive feedback would mainly introduce ceiling effects and provide limited additional insight. We therefore focus on the hard and boundary-hard task types, where adaptive memory has the greatest potential to change the security conclusion. This is the Phase 04.2 ceiling-effect rationale.",results/exp5/adaptive_final_evidence_20260522/expanded_adaptive_summary.json
