phase,provider,model,type,puzzle_id,attempt_idx,tokens_in,tokens_out,ttft_ms,e2e_ms,reasoning
attempt,openai,gpt-5.1,Rotation_Match,puzzle_panda_direction_5.json,5,1497,20,5735.8,5738.7,
attempt,openai,gpt-5.1,Rotation_Match,puzzle_sad_cat_direction_8.json,6,1778,23,4904.3,4905.5,
summary,openai,gpt-5.1,Rotation_Match,puzzle_sad_cat_direction_8.json,6,9834,126,,33080.6,
attempt,openai,gpt-5.1,Geometry_Click,vtt_000002.jpg,1,609,27,1635.6,1636.1,
attempt,openai,gpt-5.1,Geometry_Click,dingxiang_000004.jpg,2,473,27,1656.2,1657.5,
summary,openai,gpt-5.1,Geometry_Click,dingxiang_000004.jpg,2,1082,54,,3293.6,
attempt,openai,gpt-5.1,Bingo,bingo17.png,1,1083,22,5745.6,5754.6,
attempt,openai,gpt-5.1,Bingo,bingo11.png,2,1080,22,3870.3,3872.0,
attempt,openai,gpt-5.1,Bingo,bingo3.png,3,1086,22,2472.2,2474.0,
attempt,openai,gpt-5.1,Bingo,bingo22.png,4,1080,22,5068.5,5070.9,
attempt,openai,gpt-5.1,Bingo,bingo19.png,5,1080,22,4231.4,4243.6,
attempt,openai,gpt-5.1,Bingo,bingo5.png,6,1083,22,4140.7,4142.4,
attempt,openai,gpt-5.1,Bingo,bingo12.png,7,1084,22,4539.8,4541.9,
attempt,openai,gpt-5.1,Bingo,bingo16.png,8,1084,22,4984.0,4986.0,
attempt,openai,gpt-5.1,Bingo,bingo3.png,9,1083,22,2398.7,2399.7,
attempt,openai,gpt-5.1,Bingo,bingo19.png,10,1083,22,5375.0,5376.1,
summary,openai,gpt-5.1,Bingo,,10,10826,220,,42861.3,
attempt,openai,gpt-5.1,Place_Dot,path19.png,1,975,27,4338.9,4342.0,
attempt,openai,gpt-5.1,Place_Dot,path32.png,2,976,27,2201.6,2206.0,
attempt,openai,gpt-5.1,Place_Dot,path21.png,3,976,27,2602.5,2604.1,
attempt,openai,gpt-5.1,Place_Dot,path10.png,4,978,27,2297.0,2298.8,
attempt,openai,gpt-5.1,Place_Dot,path25.png,5,976,33,3221.9,3223.6,
attempt,openai,gpt-5.1,Place_Dot,path14.png,6,981,33,2402.5,2404.4,
attempt,openai,gpt-5.1,Place_Dot,path3.png,7,974,33,2503.3,2504.8,
attempt,openai,gpt-5.1,Place_Dot,path21.png,8,974,27,2832.1,2833.0,
attempt,openai,gpt-5.1,Place_Dot,path21.png,9,980,27,3004.3,3005.1,
attempt,openai,gpt-5.1,Place_Dot,path25.png,10,976,27,2137.2,2138.0,
summary,openai,gpt-5.1,Place_Dot,,10,9766,288,,27559.9,
attempt,openai,gpt-5.1,Image_Matching,ground_image19.png,1,4395,21,19248.0,19253.3,
attempt,openai,gpt-5.1,Image_Matching,ground_image5.png,2,4114,21,18043.0,18047.5,
attempt,openai,gpt-5.1,Image_Matching,ground_image7.png,3,4119,21,14373.1,14377.6,
attempt,openai,gpt-5.1,Image_Matching,ground_image17.png,4,4116,21,17487.6,17491.2,
attempt,openai,gpt-5.1,Image_Matching,ground_image20.png,5,4394,21,14074.1,14079.6,
attempt,openai,gpt-5.1,Image_Matching,ground_image17.png,6,4115,21,23625.3,23628.8,
attempt,openai,gpt-5.1,Image_Matching,ground_image14.png,7,4395,21,15601.4,15606.0,
attempt,openai,gpt-5.1,Image_Matching,ground_image11.png,8,4118,21,18884.5,18891.4,
attempt,openai,gpt-5.1,Image_Matching,ground_image14.png,9,4394,21,14258.1,14263.7,
attempt,openai,gpt-5.1,Image_Matching,ground_image5.png,10,4117,21,20411.7,20426.1,
summary,openai,gpt-5.1,Image_Matching,,10,42277,210,,176065.3,
attempt,openai,gpt-5.1,Dice_Count,dice9.png,1,1268,20,3844.5,3845.9,
attempt,openai,gpt-5.1,Dice_Count,dice6.png,2,988,20,3710.5,3712.2,
attempt,openai,gpt-5.1,Dice_Count,dice8.png,3,1268,20,4554.4,4556.7,
attempt,openai,gpt-5.1,Dice_Count,dice1.png,4,1264,23,4828.9,4831.1,
attempt,openai,gpt-5.1,Dice_Count,dice5.png,5,1269,20,7033.3,7035.2,
attempt,openai,gpt-5.1,Dice_Count,dice6.png,6,984,20,3525.7,3526.6,
attempt,openai,gpt-5.1,Dice_Count,dice1.png,7,1268,20,5569.9,5571.4,
attempt,openai,gpt-5.1,Dice_Count,dice7.png,8,984,20,4365.7,4367.5,
summary,openai,gpt-5.1,Dice_Count,dice7.png,8,9293,163,,37446.5,
attempt,openai,gpt-5.1,Patch_Select,image7.jpg,1,1015,27,1913.2,1913.9,
attempt,openai,gpt-5.1,Patch_Select,image3.jpg,2,598,31,1628.5,1630.0,
attempt,openai,gpt-5.1,Patch_Select,image2.jpg,3,595,39,1602.9,1604.4,
attempt,openai,gpt-5.1,Patch_Select,image3.jpg,4,598,31,1504.9,1505.6,
attempt,openai,gpt-5.1,Patch_Select,image7.jpg,5,1015,27,2919.4,2920.6,
attempt,openai,gpt-5.1,Patch_Select,image10.jpg,6,592,27,1386.6,1388.0,
attempt,openai,gpt-5.1,Patch_Select,image7.jpg,7,1018,27,4344.2,4345.1,
attempt,openai,gpt-5.1,Patch_Select,image9.jpg,8,1016,23,1665.4,1666.7,
attempt,openai,gpt-5.1,Patch_Select,image7.jpg,9,1017,27,2246.8,2247.6,
attempt,openai,gpt-5.1,Patch_Select,image3.jpg,10,597,35,4237.8,4238.5,
summary,openai,gpt-5.1,Patch_Select,,10,8061,294,,23460.4,
attempt,openai,gpt-5.1,Connect_Icon,puzzle16.json,1,5681,21,9232.1,9234.5,
attempt,openai,gpt-5.1,Connect_Icon,puzzle10.json,2,2115,21,7107.0,7109.6,
summary,openai,gpt-5.1,Connect_Icon,puzzle10.json,2,7796,42,,16344.1,
attempt,openai,gpt-5.1,Select_Animal,image9.png,1,928,21,4443.2,4444.1,
summary,openai,gpt-5.1,Select_Animal,image9.png,1,928,21,,4444.1,
attempt,openai,gpt-5.1,Pick_Area,image4.png,1,456,27,1382.0,1382.3,
summary,openai,gpt-5.1,Pick_Area,image4.png,1,456,27,,1382.3,
